rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
3,3,-1,OLD,20179985,코코,2018-01-11,145924500,6.4,-48661400,-25,24759580516,19310,-6806,-26.1,3144631,503,1191
4,4,-1,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,117234300,5.2,-59733000,-33.8,3479169664,15372,-7705,-33.4,453392,409,913
5,5,-1,OLD,20168323,염력,2018-01-31,123357300,5.4,-42281800,-25.5,7171746257,15130,-7526,-33.2,950641,535,1333
6,6,13,OLD,20178672,패딩턴 2,2018-02-08,97195300,4.3,92907300,2166.7,164076300,13670,13134,2450.4,21332,498,1326
7,7,-2,OLD,20150976,신과함께-죄와 벌,2017-12-20,90890500,4.0,-38466400,-29.7,114458633137,12209,-5129,-29.6,14262019,415,795
8,8,-2,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,49564200,2.2,-55027900,-52.6,18530113104,6486,-7318,-53,2254606,208,347
9,9,-2,OLD,20178395,12 솔져스,2018-01-31,45832800,2.0,-48016300,-51.2,1399573700,5819,-5932,-50.5,171677,174,443
10,10,-1,OLD,20189901,더 포리너,2018-02-07,34737300,1.5,-28687400,-45.2,117431600,4420,-3758,-46,15194,144,443
1,1,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1269434076,47.0,206466476,19.4,2604828876,155170,12374,8.7,333612,1183,6140
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,377659976,14.0,69107276,22.4,24432625813,45104,3673,8.9,3043226,689,2602
3,3,0,OLD,20179985,코코,2018-01-11,194707500,7.2,48783000,33.4,24954288016,23550,4240,22,3168181,544,1263
4,4,0,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,155069800,5.7,37835500,32.3,3634239464,18715,3343,21.7,472107,447,983
5,5,2,OLD,20150976,신과함께-죄와 벌,2017-12-20,121781700,4.5,30891200,34,114580414837,14392,2183,17.9,14276411,430,841
